学习,xuexi/Study
会计,kuaiji/Accountant
出纳,chuna/Cashier
厨师,chushi/Chef
警察,jingcha/Police officer
消防员,xiaofangyuan/Firefighter
邮递员,youdiyuan/Mail carrier
清洁工,qingjiegong/Cleaner
记者,jizhe/Journalist
摄影师,sheyingshi/Photographer
艺术家,yishujia/Artist
演员,yanyuan/Actor / Actress
导演,daoyan/Director
作家,zuojia/Writer
律师,lvshi/Lawyer
科学家,kexuejia/Scientist
农民,nongmin/Farmer
渔民,yumin/Fisherman
运动员,yundongyuan/Athlete
裁判,caipan/Referee
导游,daoyou/Tour guide
服务员,fuwuyuan/Waiter / Waitress
保姆,baomu/Nanny / Babysitter
警卫,jingwei/Security guard
士兵,shibing/Soldier
身体,shenti/Body
头,tou/Head
脸,lian/Face
眼睛,yanjing/Eye
鼻子,bizi/Nose
嘴,zui/Mouth
耳朵,erduo/Ear
头发,toufa/Hair
脖子,bozi/Neck
肩膀,jianbang/Shoulder
手臂,shoubi/Arm
手,shou/Hand
手指,shouzhi/Finger
肚子,duzi/Stomach
腿,tui/Leg
膝盖,xigai/Knee
脚,jiao/Foot
皮肤,pifu/Skin
心脏,xinzang/Heart
肺,fei/Lung
胃,wei/Stomach (organ)
肝,gan/Liver
骨头,gutou/Bone
血液,xueye/Blood
衣服,yifu/Clothes
衬衫,chenshan/Shirt
裤子,kuzi/Pants
裙子,qunzi/Skirt / Dress
外套,waitao/Coat / Jacket
毛衣,maoyi/Sweater
内衣,neiyi/Underwear
袜子,wazi/Socks
鞋子,xiezi/Shoes
帽子,maozi/Hat
手套,shoutao/Gloves
围巾,weijin/Scarf
皮带,pidai/Belt
眼镜,yanjing/Glasses
手表,shoubiao/Watch
项链,xianglian/Necklace
戒指,jiezhi/Ring
包,bao/Bag
雨伞,yusan/Umbrella
食物,shiwu/Food
水,shui/Water
米饭,mifan/Rice
面条,miantiao/Noodles
面包,mianbao/Bread
肉,rou/Meat
牛肉,niurou/Beef
猪肉,zhurou/Pork
鸡肉,jirou/Chicken
鱼,yu/Fish
鸡蛋,jidan/Egg
蔬菜,shucai/Vegetable
水果,shuiguo/Fruit
苹果,pingguo/Apple
香蕉,xiangjiao/Banana
橙子,chengzi/Orange
西瓜,xigua/Watermelon
草莓,caomei/Strawberry
葡萄,putao/Grape
牛奶,niunai/Milk
果汁,guozhi/Juice
茶,cha/Tea
咖啡,kafei/Coffee
啤酒,pijiu/Beer
葡萄酒,putaojiu/Wine
盐,yan/Salt
糖,tang/Sugar
酱油,jiangyou/Soy sauce
醋,cu/Vinegar
油,you/Oil
早餐,zaocan/Breakfast
午餐,wucan/Lunch
晚餐,wancan/Dinner
零食,lingshi/Snack
甜点,tiandian/Dessert
天气,tianqi/Weather
晴天,qingtian/Sunny day
阴天,yintian/Cloudy day
下雨,xiayu/Rain
下雪,xiaoxue/Snow
刮风,guafeng/Windy
打雷,dalei/Thunder
闪电,shandian/Lightning
雾,wu/Fog
彩虹,caihong/Rainbow
温度,wendu/Temperature
热,re/Hot
冷,leng/Cold
暖和,nuanhuo/Warm
凉快,liangkuai/Cool
季节,jijie/Season
春天,chuntian/Spring
夏天,xiatian/Summer
秋天,qiutian/Autumn
冬天,dongtian/Winter
时间,shijian/Time
年,nian/Year
月,yue/Month
星期,xingqi/Week
天,tian/Day
小时,xiaoshi/Hour
分钟,fenzhong/Minute
秒,miao/Second
早上,zaoshang/Morning
中午,zhongwu/Noon
下午,xiawu/Afternoon
晚上,wanshang/Evening
昨天,zuotian/Yesterday
今天,jintian/Today
明天,mingtian/Tomorrow
前天,qiantian/The day before yesterday
后天,houtian/The day after tomorrow
周末,zhoumo/Weekend
假期,jiaqi/Holiday / Vacation
刚才,gangcai/Just now
颜色,yanse/Color
红色,hongse/Red
蓝色,lanse/Blue
黄色,huangse/Yellow
绿色,lvse/Green
黑色,heise/Black
白色,baise/White
橙色,chengse/Orange
紫色,zise/Purple
粉红色,fenhongse/Pink
灰色,huise/Grey
棕色,zongse/Brown
金色,jinse/Gold
银色,yinse/Silver
形状,xingzhuang/Shape
圆形,yuanxing/Circle
正方形,zhengfangxing/Square
长方形,changfangxing/Rectangle
三角形,sanjiaoxing/Triangle
星形,xingxing/Star
心形,xinxing/Heart shape
动物,dongwu/Animal
狗,gou/Dog
猫,mao/Cat
老鼠,laoshu/Mouse
兔子,tuzi/Rabbit
马,ma/Horse
牛,niu/Cow
羊,yang/Sheep
猪,zhu/Pig
鸡,ji/Chicken
鸭,ya/Duck
鹅,e/Goose
鸟,niao/Bird
鱼,yu/Fish
大象,daxiang/Elephant
狮子,shizi/Lion
老虎,laohu/Tiger
熊,xiong/Bear
猴子,houzi/Monkey
长颈鹿,changjinglu/Giraffe
斑马,banma/Zebra
熊猫,xiongmao/Panda
蛇,she/Snake
青蛙,qingwa/Frog
蝴蝶,hudie/Butterfly
蜜蜂,mifeng/Bee
蚂蚁,mayi/Ant
蚊子,wenzi/Mosquito
苍蝇,cangying/Fly
蜘蛛,zhizhu/Spider
交通,jiaotong/Traffic / Transportation
车,che/Car
公共汽车,gonggongqiche/Bus
出租车,chuzuche/Taxi
自行车,zixingche/Bicycle
摩托车,motuoche/Motorcycle
火车,huoche/Train
地铁,ditie/Subway
飞机,feiji/Airplane
船,chuan/Boat / Ship
车站,chezhan/Station / Stop
票,piao/Ticket
卡,ka/Card
钱,qian/Money
钱包,qianbao/Wallet
价格,jiage/Price
贵,gui/Expensive
便宜,pianyi/Cheap
打折,dazhe/Discount
买,mai/Buy
卖,mai/Sell
付钱,fuqian/Pay
找钱,zhaoqian/Change
收银台,shouyintai/Cashier
信用卡,xinyongka/Credit card
现金,xianjin/Cash
商场,shangchang/Mall
市场,shichang/Market
礼物,liwu/Gift
东西,dongxi/Thing
大,da/Big
小,xiao/Small
长,chang/Long
短,duan/Short
高,gao/High / Tall
矮,ai/Short (height)
胖,pang/Fat
瘦,shou/Thin
漂亮,piaoliang/Beautiful
丑,chou/Ugly
好,hao/Good
坏,huai/Bad
快,kuai/Fast
慢,man/Slow
新,xin/New
旧,jiu/Old (things)
老,lao/Old (people)
年轻,nianqing/Young
聪明,congming/Smart
笨,ben/Stupid
勤奋,qinfen/Hardworking
懒惰,landuo/Lazy
开心,kaixin/Happy
难过,nanguo/Sad
生气,shengqi/Angry
害怕,haipa/Scared
累,lei/Tired
困,kun/Sleepy
渴,ke/Thirsty
饿,e/Hungry
满,man/Full
空,kong/Empty
硬,ying/Hard
软,ruan/Soft
干,gan/Dry
湿,shi/Wet
重,zhong/Heavy
轻,qing/Light (weight)
简单,jiandan/Simple
难,nan/Difficult
有趣,youqu/Interesting
无聊,wuliao/Boring
干净,ganjing/Clean
脏,zang/Dirty
安静,anjing/Quiet
吵,chao/Noisy
舒服,shufu/Comfortable
安全,anquan/Safe
危险,weixian/Dangerous
重要,zhongyao/Important
对,dui/Correct
错,cuo/Wrong
看,kan/Look / Watch
听,ting/Listen
说,shuo/Speak / Say
读,du/Read
写,xie/Write
走,zou/Walk
跑,pao/Run
跳,tiao/Jump
坐,zuo/Sit
站,zhan/Stand
躺,tang/Lie down
吃,chi/Eat
喝,he/Drink
睡觉,shuijiao/Sleep
起床,qichuang/Get up
洗澡,xizao/Take a shower
刷牙,shuaya/Brush teeth
穿,chuan/Wear
洗,xi/Wash
打,da/Hit / Play
开,kai/Open / Drive
关,guan/Close / Turn off
买,mai/Buy
卖,mai/Sell
给,gei/Give
拿,na/Take
找,zhao/Look for
找到,zhaodao/Find
帮,bang/Help
用,yong/Use
做,zuo/Do / Make
学习,xuexi/Learn
教,jiao/Teach
工作,gongzuo/Work
玩,wan/Play
旅游,lvyou/Travel
休息,xiuxi/Rest
开始,kaishi/Start
结束,jieshu/End
记得,jide/Remember
忘记,wangji/Forget
知道,zhidao/Know
认识,renshi/Recognize
相信,xiangxin/Believe
希望,xiwang/Hope
想要,xiangyao/Want
爱,ai/Love
恨,hen/Hate
哭,ku/Cry
笑,xiao/Laugh
想,xiang/Think / Miss
觉得,juede/Feel / Think
运动,yundong/Exercise
游泳,youyong/Swim
打篮球,dalanqiu/Play basketball
踢足球,tizuqiu/Play soccer
打羽毛球,dayumaoqiu/Play badminton
爬山,pashan/Climb a mountain
滑雪,huaxue/Ski
滑冰,huabing/Ice skate
跳舞,tiaowu/Dance
唱歌,changge/Sing
画画,huahua/Draw / Paint
弹钢琴,tangangqin/Play the piano
拉小提琴,laxiaoqiqin/Play the violin
看书,kanshu/Read a book
看电视,kandianshi/Watch TV
看电影,kandianying/Watch a movie
上网,shangwang/Surfing the internet
玩游戏,wanyouxi/Play games
听音乐,tingyinyue/Listen to music
旅游,lvyou/Travel
摄影,sheying/Photography
做饭,zuofan/Cook
购物,gouwu/Shop
聚会,juhui/Party
谈话,tanhua/Talk
开玩笑,kaiwanxiao/Joke
照片,zhaopian/Photo
照相机,zhaoxiangji/Camera
手机,shouji/Mobile phone
电脑,diannao/Computer
电视,dianshi/TV
收音机,shouyinji/Radio
报纸,baozhi/Newspaper
杂志,zazhi/Magazine
书,shu/Book
笔,bi/Pen
纸,zhi/Paper
桌子,zhuozi/Table
椅子,yizi/Chair
床,chuang/Bed
沙发,shafa/Sofa
灯,deng/Lamp
空调,kongtiao/Air conditioner
冰箱,bingxiang/Refrigerator
洗衣机,xiyiji/Washing machine
微波炉,weibolu/Microwave
烤箱,kaoxiang/Oven
电磁炉,diancilu/Induction cooker
锅,guo/Pot
碗,wan/Bowl
盘子,panzi/Plate
筷子,kuaizi/Chopsticks
汤勺,tangshao/Spoon
叉子,chazi/Fork
杯子,beizi/Cup / Glass
瓶子,pingzi/Bottle
水壶,shuihu/Kettle
毛巾,maojin/Towel
牙刷,yashua/Toothbrush
牙膏,yagao/Toothpaste
肥皂,feizao/Soap
洗发水,xifashui/Shampoo
沐浴露,muyulu/Body wash
梳子,shuzi/Comb
镜子,jingzi/Mirror
吹风机,chuifengji/Hair dryer
剃须刀,tixudao/Razor
纸巾,zhijin/Tissue
卫生纸,weishengzhi/Toilet paper
垃圾桶,lajitong/Trash can
扫帚,saozhou/Broom
拖把,tuoba/Mop
窗户,chuanghu/Window
门,men/Door
钥匙,yaoshi/Key
锁,suo/Lock
地板,diban/Floor
天花板,tianhuaban/Ceiling
墙,qiang/Wall
楼梯,louti/Stairs
电梯,dianti/Elevator
阳台,yangtai/Balcony
花园,huayuan/Garden
车库,cheku/Garage
环境,huanjing/Environment
地球,diqiu/Earth
太阳,taiyang/Sun
月亮,yueliang/Moon
星星,xingxing/Star
天空,tiankong/Sky
云,yun/Cloud
风,feng/Wind
雨,yu/Rain
雪,xue/Snow
山,shan/Mountain
森林,senlin/Forest
树,shu/Tree
花,hua/Flower
草,cao/Grass
草地,caodi/Lawn
公园,gongyuan/Park
河流,heliu/River
湖泊,hubo/Lake
海洋,haiyang/Ocean
海滩,haitan/Beach
沙漠,shamo/Desert
岛屿,daoyu/Island
自然,ziran/Nature
保护,baohu/Protect
污染,wuran/Pollute
垃圾,laji/Garbage
回收,huishou/Recycle
节能,jieneng/Save energy
植物,zhiwu/Plant
动物,dongwu/Animal
人类,renlei/Humanity
社会,shehui/Society
国家,guojia/Country
世界,shijie/World
和平,heping/Peace
战争,zhanzheng/War
法律,falu/Law
政治,zhengzhi/Politics
经济,jingji/Economy
文化,wenhua/Culture
传统,chuantong/Tradition
现代,xiandai/Modern
科学,kexue/Science
技术,jishu/Technology
教育,jiaoyu/Education
健康,jiankang/Health
安全,anquan/Security
幸福,xingfu/Happiness
希望,xiwang/Hope
未来,weilai/Future
